net,length_um
rvsingle.dp.rf.rf\[19\]\[25\],128.54
_04363_,128.4
_04305_,128.38
_06068_,128.3
_03064_,127.91
_03696_,127.72
_05209_,127.28
_05266_,126.72
_01071_,126.3
_01080_,126.16
rvsingle.dp.rf.rf\[1\]\[6\],126.14
_05836_,125.8
clknet_leaf_115_clk,125.68
_04923_,125.16
clknet_leaf_48_clk,124.52
_04729_,124.14
_05342_,123.72
_06069_,123.48
clknet_leaf_141_clk,123.48
_03452_,122.6
ReadData[14],122.23
_04013_,122.03
_05143_,121.74
_05772_,120.53
rvsingle.dp.rf.rf\[31\]\[5\],120.32
ReadData[18],119.69
_01124_,119.19
_01347_,118.96
rvsingle.dp.rf.rf\[25\]\[10\],118.5
_05748_,118.48
_04728_,117.78
clknet_leaf_114_clk,117.335
rvsingle.dp.rf.rf\[24\]\[10\],117.16
rvsingle.dp.rf.rf\[14\]\[23\],116.765
_04765_,116.38
_02326_,116
rvsingle.dp.rf.rf\[18\]\[22\],115.82
_02633_,115.76
_04381_,115.54
_01062_,115.515
_05359_,115.435
clknet_leaf_27_clk,115.33
PC[22],114.6
_05534_,114.52
_01577_,114.32
_04838_,114.04
clknet_leaf_101_clk,113.96
_04920_,113.875
_04427_,113.72
rvsingle.dp.rf.rf\[10\]\[17\],113.34
_04867_,112.78
clknet_leaf_67_clk,112.285
_01925_,112.26
_03825_,111.8
_02939_,111.42
_05193_,111
clknet_leaf_140_clk,110.99
_06007_,110.98
_05565_,110.75
_05322_,110.74
rvsingle.dp.rf.rf\[13\]\[23\],109.88
clknet_leaf_128_clk,109.55
clknet_leaf_142_clk,109.46
_02274_,109.34
_02593_,109.26
rvsingle.dp.rf.rf\[15\]\[24\],109.18
DataAdr[22],108.94
_05728_,108.8
_01091_,108.34
_05182_,108.22
_04824_,107.76
clknet_leaf_32_clk,107.62
_01067_,107.55
_02909_,107.55
_05973_,107.44
clknet_leaf_34_clk,107.42
_05937_,107.26
_04715_,107.155
_04928_,107.01
_06070_,106.44
_05722_,106.3
rvsingle.dp.rf.rf\[2\]\[6\],106.195
clknet_leaf_52_clk,106.08
rvsingle.dp.rf.rf\[15\]\[23\],105.34
rvsingle.dp.rf.rf\[5\]\[29\],105
clknet_leaf_71_clk,104.88
rvsingle.dp.rf.rf\[17\]\[10\],104.42
_04507_,104.35
WriteData[13],103.85
_03759_,103.85
_01557_,103.69
rvsingle.dp.rf.rf\[10\]\[0\],103.38
_01175_,103.15
_05792_,103.14
clknet_leaf_143_clk,102.58
